genome_id	pgs	matched	height_cm	sex
2070.23andme.1245	0.000000	0	172.7	
2075.23andme.1250	0.390391	12923	160.0	F
2076.23andme.1251	-1.874455	12559	177.8	M
2099.23andme.1272	-1.955157	13000	160.0	F
2101.ancestry.1283	-2.846128	13601	175.3	M
2106.23andme.1277	0.082163	17331	165.1	
2153.23andme.1306	1.369983	16988	182.9	
2158.23andme.1310	-1.800684	17620	162.6	
2159.23andme.1311	-2.424761	13008	167.6	F
2166.23andme.1316	1.183010	13026	157.0	F
2177.23andme.1327	3.559224	12576	188.0	
2189.23andme.1337	-3.330114	12566	175.3	
2202.23andme.1346	-0.185109	13006	175.0	
2207.ancestry.1350	-2.022753	13478	190.5	M
2214.23andme.1361	0.606739	17320	177.8	
2225.23andme.1370	-3.396230	13026	170.2	
2238.23andme.1378	-2.547403	16935	170.0	M
2274.23andme.1390	-1.309648	12167	172.7	M
2276.23andme.1393	-3.190589	13003	162.6	
2279.23andme.1395	-4.810143	12538	177.8	M
2288.23andme.1401	-1.184386	17559	152.4	F
2291.23andme.1402	-0.911990	12531	193.0	M
2293.23andme.1404	-0.242685	17874	162.6	
2297.23andme.1408	-4.612787	12954	157.5	F
2307.23andme.1417	-2.669367	17474	167.6	F
2314.23andme.1424	-0.806858	13017	165.1	F
2356.23andme.1481	-3.840775	13040	152.4	
2358.ancestry.1458	2.439313	14028	170.2	F
2361.23andme.1460	0.222883	12987	175.3	
2362.23andme.1461	0.598087	12591	172.0	M
2385.23andme.1478	-1.217289	16990	168.0	M
2393.ancestry.1486	-3.872661	13690	172.7	M
2399.23andme.1491	-4.325734	12986	167.6	
2402.23andme.1495	1.009797	12600	185.4	M
2406.23andme.1498	-4.859876	12548	175.0	M
2412.23andme.1503	2.058674	17583	160.0	F
2421.23andme.1509	-1.707685	12610	181.0	
2455.23andme.1519	-3.407449	12811	162.6	F
2456.23andme.1553	1.544325	17050	193.0	M
2457.23andme.1521	-1.853035	12532	162.6	
2498.23andme.1529	4.354526	16886	185.0	M
2504.23andme.1535	-1.000255	17242	177.8	
2506.ftdna-illumina.1536	1.492759	13815	172.7	M
2512.23andme.1541	-0.916664	17576	155.0	
2516.23andme.1545	5.852148	17568	175.3	F
2535.23andme.1554	-3.003913	12578	177.8	M
2557.23andme.1575	-2.750258	12561	185.4	M
2568.23andme.1588	-1.402857	12492	193.0	
2570.23andme.1590	-3.800587	12436	177.8	M
2571.ancestry.1592	-0.127474	14028	149.9	F
2574.ancestry.1593	-1.018105	13583	172.7	M
2576.23andme.1632	-4.539909	12981	152.4	
26.23andme-exome-vcf.237	-1.307345	2723	188.0	M
2616.23andme.1634	-3.325435	12585	180.3	
2635.23andme.1654	-2.223563	12996	162.6	
2636.ancestry.1655	0.730204	13999	162.6	F
2645.23andme.1662	-3.180019	12525	179.0	M
2660.23andme.1675	1.035050	12170	177.8	M
2662.23andme.1677	0.000000	0	165.1	F
2673.ancestry.1688	0.082491	13608	190.5	
2676.23andme.1694	1.091162	17056	190.5	M
2692.23andme.1706	1.374768	12524	177.8	
2699.23andme.1709	-4.038227	12550	175.3	M
2705.ftdna-illumina.1714	-1.644242	13586	181.0	
2707.23andme.1717	4.054306	17069	198.1	M
2708.ancestry.1719	-3.489288	13580	169.0	
2715.ancestry.1725	-0.973251	14161	162.6	
2720.23andme.1729	-4.038963	12956	165.1	F
2732.ftdna-illumina.1739	-0.487722	13594	175.3	
2755.23andme.1758	-2.263467	12999	165.1	F
2758.23andme.1761	-0.832488	12586	177.8	M
2759.23andme.1762	-2.762165	12424	183.0	
2760.23andme.1763	2.055297	17843	167.6	
2797.23andme.1771	2.023462	12593	172.7	M
2826.23andme.1787	-6.414931	12577	188.0	
2839.ftdna-illumina.1798	-0.202031	13604	162.6	
2841.23andme.1799	-1.618152	12883	162.6	
2849.23andme.1808	-1.669444	17878	183.0	M
2850.23andme.1809	-1.426770	13028	157.5	
2858.23andme.1816	-1.622046	13013	160.0	
2874.23andme.1893	-0.639460	12545	188.0	
2881.23andme.1824	3.986464	17302	175.3	M
2887.23andme.1829	-0.598377	12547	193.0	M
2890.23andme.1831	0.308855	17317	172.7	M
2903.23andme.1843	-1.363135	13016	175.3	F
2907.23andme.1846	-2.105492	12541	182.9	
2912.23andme.1851	-2.473427	12511	193.0	
2928.ftdna-illumina.1864	-0.617158	13807	178.0	
2953.ftdna-illumina.1885	-2.970676	13551	182.9	M
2964.23andme.1892	-0.812996	12957	167.6	F
2966.23andme.1895	-0.850860	13008	152.4	F
2969.23andme.4132	1.231054	17812	152.4	F
2971.23andme.1899	1.867305	17649	157.5	
2983.23andme.1909	-0.521386	17878	162.6	F
3025.ancestry.1942	-1.022869	14026	170.2	F
3034.23andme.1950	4.661499	12996	175.3	F
3046.23andme.1955	-1.212669	12948	152.4	M
3050.ancestry.1958	-1.120249	13614	180.3	M
3064.23andme.1969	-1.869922	12567	175.3	
3068.ftdna-illumina.6076	-0.132643	13210	175.3	
3080.23andme.1982	-1.145060	12997	162.6	F
3122.23andme.2015	-1.895949	12568	167.6	
3124.ancestry.2016	0.326933	13582	177.8	
3140.23andme.2029	-2.164280	12987	165.1	
3145.23andme.2033	1.609718	13013	177.8	F
3167.23andme.2050	1.601602	12566	193.0	
3170.23andme.2054	-2.731166	17087	188.0	M
3179.23andme.2064	1.717574	17549	160.0	F
3186.23andme.2069	-0.217421	17321	142.2	
319.23andme.504	2.126488	17870	157.5	
3192.23andme.2073	0.000000	0	165.1	
3196.23andme.2078	-1.516538	13005	157.5	F
3211.23andme.2091	-0.746967	17835	182.9	
3227.23andme.2100	-0.230885	17097	183.0	
3257.23andme.2282	-0.906019	12534	189.0	M
3265.23andme.2123	-5.622900	12578	188.0	M
3275.23andme.2129	-0.011314	12534	175.0	M
3277.ancestry.2130	-0.240004	14027	170.2	F
328.23andme.316	0.278202	17329	184.0	M
3280.23andme.2134	1.674260	17613	165.1	F
3289.23andme.2139	-0.801675	13025	160.0	F
3303.ftdna-illumina.3286	1.749168	13589	182.0	
3306.23andme.2150	-5.867389	12540	177.8	M
3317.23andme.2156	0.803535	12553	180.0	M
3321.23andme.2162	-1.416334	12990	162.6	
3326.23andme.2167	0.270955	12980	180.3	F
3341.23andme.2175	-2.238053	17576	157.5	F
3343.23andme.2176	-0.593693	17874	172.7	F
3364.23andme.2182	-0.292403	12974	152.4	F
3370.23andme.2187	0.000000	0	170.2	M
3395.23andme.2208	-0.673523	16976	170.2	M
3415.23andme.2230	-2.716107	17313	183.0	M
3422.23andme.2234	-2.408167	13020	155.0	F
3459.ancestry.2254	0.267884	14011	162.6	
3478.23andme.2262	-1.057273	12996	162.6	F
3486.23andme.2266	0.376973	12930	172.7	F
3495.23andme.2271	-1.383574	13011	175.3	F
35.23andme-exome-vcf.210	0.279224	2716	180.0	M
3531.23andme.2303	-0.417573	17654	160.0	F
3532.23andme.2305	-0.333652	12825	170.2	
3571.ftdna-illumina.2340	0.437239	13419	175.3	F
3581.23andme.2348	0.381274	12977	175.3	F
3582.23andme.2349	-1.944746	12978	172.7	F
3622.23andme.2379	-1.575637	13009	168.9	F
3626.ancestry.2383	0.266104	13967	167.6	F
3639.23andme.2392	-1.515687	13019	174.0	F
3642.23andme.2394	2.582520	12552	193.0	M
3660.ancestry.2406	-3.192385	14024	157.5	F
3667.23andme.2413	-0.830111	12602	189.0	
3671.ancestry.2416	-3.388946	13994	162.6	
3672.ancestry.2417	-1.555461	13969	160.0	F
3680.23andme.2428	-4.287592	12548	172.7	M
3682.23andme.2429	-0.938362	12605	183.0	M
3688.ancestry.2433	-1.666624	14031	162.6	
3689.23andme.2434	-0.694848	12989	170.2	
3695.23andme.2438	0.318406	13038	170.2	
3730.23andme.2468	-2.319830	12604	170.2	
3733.ancestry.2470	-1.721818	13599	177.8	M
3749.23andme.2484	-3.215525	12566	182.0	
3751.ftdna-illumina.2485	0.030988	13586	157.0	
3767.ancestry.2494	-3.443182	14024	157.5	F
3777.23andme.2502	-2.618255	12574	177.8	M
3799.23andme.2522	-1.049678	17098	172.7	
3802.23andme.2524	1.884941	12546	190.0	M
3821.23andme.2539	-0.684211	12599	183.0	M
3834.23andme.2551	-0.481603	12558	172.7	M
3858.ancestry.2568	-2.565238	14045	167.6	F
3862.23andme.2572	-2.887791	12564	185.4	M
3865.23andme.2575	0.169157	12990	165.1	F
3866.23andme.2576	2.705637	12447	190.5	
3867.23andme.2577	-3.092112	13012	165.0	
3881.23andme.2588	-0.737227	13000	168.9	
3885.ancestry.2592	-1.472658	13968	170.2	
3886.ancestry.2593	-3.962977	14025	162.6	
3912.23andme.2616	-3.416332	12904	160.0	
3913.23andme.2617	-0.539371	13008	160.0	F
3922.23andme.2622	-0.896628	13011	155.0	
3934.23andme.2634	1.331009	12556	170.2	
3942.23andme.2642	1.790366	12170	185.4	M
3948.23andme.2651	-3.610065	12591	172.7	
3952.ftdna-illumina.2649	0.677709	13590	180.3	
3957.ancestry.2655	-1.548658	13558	183.0	M
3964.23andme.2661	-3.712437	12558	180.3	
3974.23andme.2744	-4.183402	12982	162.6	
3987.23andme.2682	-0.497941	12587	193.0	
3990.23andme.2684	-0.998404	13021	162.6	F
3992.23andme.2686	-0.166806	12506	178.0	M
4009.23andme.2701	1.164681	12539	193.0	M
4012.23andme.2703	0.000000	0	167.6	F
4018.23andme.2709	-3.465464	13019	160.0	F
4021.ancestry.2711	-0.809095	13558	182.9	
4029.23andme.2821	-0.896086	12598	177.0	M
4030.23andme.2719	-0.167488	12572	180.3	
4034.23andme.2725	-2.250576	12585	180.3	M
4048.23andme.2734	-1.833070	17856	160.0	F
4055.23andme.2740	-4.474273	13001	162.6	
4057.23andme.2742	-0.165763	12589	188.0	M
4064.ancestry.2752	-1.837844	14000	162.6	
4065.23andme.2753	-1.228361	12587	175.0	
4066.23andme.5667	-1.052345	12544	188.0	
4084.23andme.2766	0.642054	12144	175.3	M
4095.23andme.2771	-1.626672	12861	162.6	
4111.ancestry.2783	-1.279471	13959	172.7	F
4130.23andme.2797	-1.886747	13024	160.0	F
4133.ancestry.2799	0.131121	13982	162.6	F
4143.23andme.2809	-0.534469	12607	190.5	M
4147.23andme.2811	-2.190106	13010	155.0	F
4170.23andme.2827	0.000000	0	167.6	F
4178.23andme.2835	0.186208	12586	177.8	M
4181.23andme.2839	-2.455246	12571	167.6	M
4185.23andme.5962	-2.876624	13020	167.6	F
4194.23andme.2847	-3.360138	18461	195.6	
4195.23andme.2848	2.637458	16995	175.3	
4200.23andme.2852	-1.914367	17057	170.2	M
4248.23andme.2886	-1.166793	17311	179.0	M
4252.ancestry.2888	-2.798027	13576	182.9	
4267.23andme.3843	-1.600333	12573	167.6	
4290.23andme.2910	-0.433505	12590	175.0	M
4292.23andme.2901	0.000000	0	170.2	
4295.23andme.3019	1.600004	12587	183.0	
4297.ancestry.3045	0.757065	13609	192.0	M
4342.23andme.3029	-2.168897	17102	183.0	M
4351.23andme.2923	-2.277027	12954	165.1	
4356.23andme.2928	3.176725	13016	179.0	F
4359.23andme.2931	-1.328997	13009	160.0	F
4372.23andme.3063	-2.565942	12538	190.5	M
4381.23andme.2990	-2.740338	17299	170.2	
4412.ancestry.3011	-0.860390	13749	157.5	F
4425.ancestry.3030	-0.907720	13561	188.0	
4428.23andme.3034	3.607513	13013	172.7	F
4438.23andme.3042	0.097422	17344	157.5	F
4440.ancestry.3043	-0.617247	13558	160.0	
4460.ancestry.3056	-0.993012	13956	167.6	F
4468.ancestry.3062	-4.237794	13977	157.5	
4482.23andme.3079	-1.439340	12546	177.8	
4483.23andme.3080	0.225494	12925	157.5	
4499.23andme.3095	-3.396563	13003	160.0	
4500.23andme.3097	-2.023299	17024	177.8	
4502.ancestry.3098	-1.063888	13616	185.4	M
4509.23andme.3106	-2.201072	12529	172.0	M
4522.ancestry.3117	-1.562312	13980	162.6	F
4532.23andme.3128	-2.118506	13026	165.1	F
4538.ancestry.3132	-4.287996	13605	175.3	M
4539.23andme.3133	1.937081	12595	185.4	M
4546.ftdna-illumina.3139	-0.195430	13128	170.2	F
4547.23andme.3141	-3.803057	13006	165.1	F
4552.ancestry.3240	-2.066409	13556	170.2	M
4555.ancestry.3148	-0.871558	13970	165.1	F
4558.23andme.3150	-0.003903	17262	182.9	M
4568.ancestry.3153	-2.013019	13966	160.0	
4569.23andme.3154	0.340452	17311	180.3	M
4577.23andme.3161	-3.630182	12591	175.0	
4580.23andme.3227	-0.060256	12955	175.0	F
4583.ftdna-illumina.3482	0.703679	13816	188.0	
4584.ftdna-illumina.3483	-1.905595	13814	180.3	
4585.ftdna-illumina.3187	3.492030	13813	172.7	M
4597.ancestry.3196	-2.454552	13559	183.0	
4602.ancestry.3204	3.095574	13548	185.4	
4604.ancestry.3206	-6.241005	13572	165.1	M
4613.ftdna-illumina.3216	-1.931821	13539	175.3	M
4614.ancestry.3217	-3.269713	13779	190.5	
