genome_id	height_cm	sex
3167.23andme.2050	193.0	
3145.23andme.2033	177.8	F
3140.23andme.2029	165.1	
3124.ancestry.2016	177.8	
3122.23andme.2015	167.6	
3080.23andme.1982	162.6	F
3064.23andme.1969	175.3	
3050.ancestry.1958	180.3	M
3046.23andme.1955	152.4	M
3034.23andme.1950	175.3	F
3025.ancestry.1942	170.2	F
2983.23andme.1909	162.6	F
2971.23andme.1899	157.5	
2966.23andme.1895	152.4	F
2874.23andme.1893	188.0	
2964.23andme.1892	167.6	F
2953.ftdna-illumina.1885	182.9	M
2928.ftdna-illumina.1864	178.0	
2925.23andme.1859	170.2	
2912.23andme.1851	193.0	
2907.23andme.1846	182.9	
2903.23andme.1843	175.3	F
2890.23andme.1831	172.7	M
2887.23andme.1829	193.0	M
2881.23andme.1824	175.3	M
2858.23andme.1816	160.0	
2850.23andme.1809	157.5	
2849.23andme.1808	183.0	M
2841.23andme.1799	162.6	
2839.ftdna-illumina.1798	162.6	
2826.23andme.1787	188.0	
2797.23andme.1771	172.7	M
2760.23andme.1763	167.6	
2759.23andme.1762	183.0	
2758.23andme.1761	177.8	M
2755.23andme.1758	165.1	F
2746.ftdna-illumina.1750	173.0	
2732.ftdna-illumina.1739	175.3	
2720.23andme.1729	165.1	F
2715.ancestry.1725	162.6	
2708.ancestry.1719	169.0	
2707.23andme.1717	198.1	M
2705.ftdna-illumina.1714	181.0	
2699.23andme.1709	175.3	M
2692.23andme.1706	177.8	
2691.ftdna-illumina.1705	160.0	F
2676.23andme.1694	190.5	M
2673.ancestry.1688	190.5	
1964.23andme.1683	190.5	M
2662.23andme.1677	165.1	F
2660.23andme.1675	177.8	M
2645.23andme.1662	179.0	M
2636.ancestry.1655	162.6	F
2635.23andme.1654	162.6	
2616.23andme.1634	180.3	
2576.23andme.1632	152.4	
2574.ancestry.1593	172.7	M
2571.ancestry.1592	149.9	F
2570.23andme.1590	177.8	M
2568.23andme.1588	193.0	
2557.23andme.1575	185.4	M
2535.23andme.1554	177.8	M
2456.23andme.1553	193.0	M
2516.23andme.1545	175.3	F
2512.23andme.1541	155.0	
2506.ftdna-illumina.1536	172.7	M
2504.23andme.1535	177.8	
2498.23andme.1529	185.0	M
2457.23andme.1521	162.6	
2455.23andme.1519	162.6	F
2421.23andme.1509	181.0	
2412.23andme.1503	160.0	F
2406.23andme.1498	175.0	M
2402.23andme.1495	185.4	M
2399.23andme.1491	167.6	
2398.23andme.1490	170.2	
2393.ancestry.1486	172.7	M
2356.23andme.1481	152.4	
2385.23andme.1478	168.0	M
2362.23andme.1461	172.0	M
2361.23andme.1460	175.3	
2358.ancestry.1458	170.2	F
2322.23andme.1430	175.3	
